OBJECTID,PARKID,PARKNAME,NAME_ALT,PARK_ADDR,CITY_MUNI,COUNTY,STATE,PARKSTATUS,WINTER_STS,FUNC_TYPE,LANDOWNER,OWNERTYPE,AGENCYNAME,AGENCYTYPE,YEAROPEN,LANDCOVER,WATERACRES,LAND_ACRES,PARK_ACRES,PLND_ACRES,TRL_MILES,ACQSOURCE,ACQMETHOD,ACQCOMMENT,DEVSOURCE,DEVCOMMENT,RESTRICTS,LWCFPROT,OTHERPROT,RESPRTCMNT,SERVICAREA,MGTPRIORTY,VLTR_OPPS,SPEC_FEAT,PARK_HOURS,PKING_CAP,VISITORCTS,PASSHOLDER,PARK_EMAIL,PARK_PHONE,PARK_URL,MNTCEEMAIL,MNTCEPHONE,DATAAUTHOR,EDITED_BY,EDITED_DT,CREATED_BY,CREATED_DT,ShapeSTArea,ShapeSTLength
1,01038,28th Street Totlot,,28th St Near Stevens,Minneapolis,053,MN,Open,Open,,,,Minneapolis Park & Recreation Board,05,,,,,1.1353937,,,,,,,,,,,,,,,,6:00am to Midnight,,,,,612-230-6400,https://www.minneapolisparks.org/,,,Hennepin County,,,,,4594.77527999,357.189149805185
2,42025,65th & Pillsbury,,65th & Pillsbury,Richfield,053,MN,Open,,,,,Richfield,05,,,,,0.36966787,,,,,,,,,,,,,,,,Unknown,,,,,612-861-9700,https://www.richfieldmn.gov/departments/parks_and_recreation/parks/index.php,,,Richfield,,,,,1495.99280112,245.91594884499
3,42014,Adams Hill Park,,7200 Washburn Ave,Richfield,053,MN,Open,,,,,Richfield,05,,,,,13.9756316,,,,,,,,,,,,,,,,Unknown,,,,,612-861-9700,https://www.richfieldmn.gov/departments/parks_and_recreation/parks/index.php,,,Richfield,,,,,56557.37450323,1222.61208865901
4,28001,Adeline Nature Area,,910 Adeline Lane,Golden Valley,053,MN,Open,Open,,,,Golden Valley,05,,,,,1.24949747,,,,,,,,,,,,,,,,Sunrise to 10:00pm,,,,,763-593-8000,https://www.goldenvalleymn.gov/183/Parks-Trails-Recreation,,,Golden Valley,,,,,5056.53687368,322.905726182206
5,36009,Adler Nature View Park,,8230 Highland Road,Minnetrista,053,MN,Open,Open,,,,,,,,,,2.63963229,,,,,,,,,,,,,,,,Unknown,,,,,952-446-1660,https://www.cityofminnetrista.com/parks-commission,,,Minnetrista,,,,,10682.212885625,693.026912207533
6,46016,Ainsworth Park,,7700 28th St W,St. Louis Park,053,MN,Open,Open,,,,St. Louis Park,05,,,,,5.11112625,,,,,,,,,,,,,,,,Unknown,,,,info@stlouispark.org,952-924-2500,https://www.stlouisparkmn.gov/our-city/thing-to-do/parks,,,Hennepin County,,,,,20683.99408996,605.337269984652
7,24001,Alden Park,,6750 Belmore Lane,Edina,053,MN,Open,Open,,,,Edina,05,,,,,4.87622768,,,,,,,,,,,,,,,,6:00am to 10:00pm,,,,,952-927-8861,https://www.edinamn.gov/1782/Parks-Trails,,,City of Edina,,,,,19733.39331294,591.310135007913
8,85019,Alwin Park,,Robin Lane & Sugar Mill,Mound,053,MN,Open,Open,,,,Mound,05,,,,,0.83531371,,,,,,,,,,,,,,,,Unknown,,,,,952-472-0600,https://www.cityofmound.com/parks,,,Hennepin County,,,,,3385.441300935,273.617498062922
9,02018,Anderson Lakes,Hyland-Bush-Anderson Lakes Park Reserve,Hwy 169 & Anderson Lakes Pkwy,Eden Prairie,053,MN,Open,Open,Park Reserve,,,Three Rivers Park District,04,,,,,211.25992873,,,,,,,,,,,,,,,,5:00am to 10:00pm,,,,,763-559-9000,https://www.threeriversparks.org/locations,,,Three Rivers Park District,,,,,854938.599393415,17622.989322425
10,50016,Andrews Park,,7200 117th Ave N,Champlin,053,MN,Open,Open,,,,Champlin,05,,,,,43.81545576,,,,,,,,,,,,,,,,Sunrise to 10:30pm,,,,recreation@ci.champlin.mn.us,763-421-8100,https://ci.champlin.mn.us/255/City-Parks-Trails,,,Champlin,,,,,177314.85853546,2190.62453847828
