OBJECTID,WARD,SHAPESTArea,SHAPESTLength,FEATURECODE,NAME_TXT,MUNIC,MUNIC_NAME,PRECINCT,STATE_CD,MCD_CD,CONG_DIST,SEN_DIST,HOUSE_DIST,COMM_DIST,PARK_COUNTY,PARK_MPLS,GlobalID
1,,2502502.34779974,7680.90533672884,260,Saint Anthony P-01,94,St. Anthony,2765,27,205,5,39,39B,2,3,,{5F55F289-0B98-4D17-BE3B-E78E45932EB2}
2,,1868861.19354236,6379.23936607779,260,Saint Anthony P-02,94,St. Anthony,2770,27,205,5,39,39B,2,3,,{DFFA1367-08BC-47AB-8B73-DB49C27B5330}
3,,12129853.2290243,23210.193394968,260,Wayzata P-01,99,Wayzata,2910,27,235,3,45,45B,6,1,,{04D8D298-7FFE-413E-AFF9-787D7349E2BB}
4,,2768169.51346722,8944.23804622357,260,Maple Plain P-01,77,Maple Plain,1335,27,120,3,37,37A,7,1,,{5561212D-BE83-4916-8D12-7C4799C1EF96}
5,,55590483.9221656,39826.9258967049,260,Greenfield P-01,65,Greenfield,1050,27,75,3,37,37A,7,1,,{2CB2BDA5-8CC9-46C4-A8C4-234193A551F6}
6,,89534565.4400075,45422.7150471386,260,Independence P-01,70,Independence,1150,27,100,3,37,37A,7,1,,{ABBEC94F-1C28-4A05-9A18-8BD5B0E5EA86}
7,,2441358.3589559,10796.8637206116,260,Long Lake P-01,72,Long Lake,1160,27,105,3,45,45A,6,1,,{207E1014-D73D-479C-AE20-D3852E9FF7A2}
8,,2691577.39318517,8969.76269523695,260,Saint Bonifacius P-01,95,St. Bonifacius,2780,27,210,3,45,45A,7,1,,{32B48596-B0E6-4AE8-B770-E9A15FA6FFE4}
9,,31317736.9748659,32377.6185661055,260,Minnetrista P-02,36,Minnetrista,2245,27,151,3,45,45A,7,1,,{0339B914-BC30-411F-8C72-F038FCE2DD2D}
10,,18673925.6467131,23514.606966102,260,Minnetrista P-01,36,Minnetrista,2240,27,151,3,45,45A,7,1,,{06386C0B-6BA5-427B-8A96-ABE63C85EFE2}
11,,18291202.8043102,21959.3588359776,260,Minnetrista P-04,36,Minnetrista,2255,27,151,3,45,45A,7,1,,{9F1F8085-FC6A-4DB5-ABB7-A7FD41FD02BD}
12,,11811306.751875,30978.0523732879,260,Minnetrista P-03,36,Minnetrista,2250,27,151,3,45,45A,7,1,,{7C422845-0539-4030-B902-BC89BBB9A1D2}
13,,958654.532313825,4921.74361667641,260,Medicine Lake P-01,79,Medicine Lake,1345,27,125,3,42,42B,2,1,,{EE51D12E-6790-4D2B-A51C-92896BD2403F}
14,,5081452.32087985,13041.7281320567,260,Deephaven P-01,59,Deephaven,0675,27,50,3,45,45B,6,4,,{59BD965F-5A3F-4B9B-BF6B-897CFAEBAF8C}
15,,5027877.8202181,13020.0827221526,260,Deephaven P-02,59,Deephaven,0680,27,50,3,45,45B,6,4,,{524D7830-0BDF-4569-9FD6-5D7060D395F5}
16,1,6038948.30375309,15226.3145213459,260,Champlin W-01 P-01,50,Champlin,0450,27,25,3,34,34A,7,2,,{C16AF807-0632-4FD0-913B-DAE2D5C29FDD}
17,2,7390828.28474382,12448.0568361514,260,Champlin W-02 P-01,50,Champlin,0455,27,25,3,34,34A,7,2,,{1B1E70A5-5569-4B28-9111-0B1FD69E1EA1}
18,3,4574056.39545614,11924.4907296535,260,Champlin W-03 P-01,50,Champlin,0460,27,25,3,34,34A,7,2,,{D072A19F-A07F-46B7-83A5-766C0641D6AF}
19,4,2116653.50165852,6399.36695281952,260,Champlin W-04 P-01,50,Champlin,0465,27,25,3,34,34A,7,2,,{A10EEEB1-9608-446D-BFCB-852FD2C2AF08}
20,4,2344908.16379383,8664.68913579369,260,Champlin W-04 P-02,50,Champlin,0470,27,25,3,34,34B,7,2,,{0F66B1B2-44A5-4766-9F6E-B78FBBB6FA5C}
21,,41001734.2236382,27922.7711566404,260,Corcoran P-01,52,Corcoran,0500,27,30,3,37,37A,7,1,,{7749691A-CB6D-49B4-A0EE-5E148EC8CA18}
22,,21117413.7677183,21823.477280398,260,Corcoran P-02,52,Corcoran,0505,27,30,3,37,37A,7,1,,{648F853C-DF5D-4890-9B96-120A57253D3D}
23,,31213560.4012368,25552.4031048661,260,Corcoran P-03,52,Corcoran,0510,27,30,3,37,37A,7,1,,{301FE3D8-4CCF-48DB-B36D-F6B0D857A2FD}
24,2,1600586.53988634,8196.35898299563,260,Crystal W-02 P-01,54,Crystal,0560,27,35,5,43,43B,1,3,,{AEBB5739-C658-4FD9-B95D-BFC098CE5E35}
25,2,1948788.92374983,8437.16371380674,260,Crystal W-02 P-02,54,Crystal,0565,27,35,5,43,43A,1,3,,{955BCD6E-149C-4E23-97E6-5B480675E078}
26,1,3183541.49454631,15124.9883492696,260,Crystal W-01 P-01,54,Crystal,0550,27,35,5,43,43A,1,3,,{1BB97573-5128-427D-983C-CE735907AD32}
27,3,3714398.36022558,10160.3517453141,260,Crystal W-03 P-01,54,Crystal,0570,27,35,5,43,43A,1,3,,{967793FB-7F5B-4636-96DA-64788EC50BCD}
28,4,4777740.85080685,12653.5593393616,260,Crystal W-04 P-01,54,Crystal,0585,27,35,5,43,43A,1,3,,{596331E5-1C7D-4299-B722-5F181CC9E847}
29,,1463626.9189596,6644.81033868856,260,Hopkins P-01,30,Hopkins,1110,27,95,3,46,46B,6,4,,{6A018A26-9BB4-4C75-9983-4777B20D1ED7}
30,,2241370.25820955,8331.42592388194,260,Hopkins P-02,30,Hopkins,1115,27,95,3,46,46B,6,4,,{69892BB3-923F-4ED7-B182-58218BB40248}
31,,2344897.86625791,6572.13927244804,260,Hopkins P-03,30,Hopkins,1120,27,95,3,46,46B,6,4,,{6071B54F-BD30-430F-B032-F6066A9EE0AF}
32,,1105883.3269916,4330.519263581,260,Hopkins P-04,30,Hopkins,1125,27,95,3,46,46B,6,4,,{8B5B9FAD-F0F5-41A8-81A1-C375604FDCA1}
33,,3434893.98779343,13704.5046783136,260,Hopkins P-05,30,Hopkins,1130,27,95,3,46,46B,6,4,,{427767C0-598B-4218-97AB-08F1349DC546}
34,,5829891.5252257,11309.7796175742,260,Maple Grove P-12,76,Maple Grove,1245,27,115,3,42,42A,7,2,,{84A54F0F-AD2D-4649-957B-9899076A75A5}
35,,4838549.06637725,12934.6492844856,260,Maple Grove P-11,76,Maple Grove,1240,27,115,3,37,37B,7,2,,{EB2EDEDB-DBB3-4879-B10F-C81F04ABB66F}
36,,4545702.42292444,8976.32100563286,260,Maple Grove P-09,76,Maple Grove,1230,27,115,3,37,37B,7,2,,{A561AC47-E759-4E7A-9F13-ECB4160F5A99}
37,,5481128.60881675,9698.65687376189,260,Maple Grove P-08,76,Maple Grove,1225,27,115,3,37,37B,7,2,,{0D621B82-FF6D-4E84-938C-850BAD376195}
