OBJECTID,WARD,FEATURECODE,NAME_TXT,MUNIC,MUNIC_NAME,MCD_CD,GlobalID,ShapeSTArea,ShapeSTLength
1,10,260,W-10,1,Minneapolis,,{F8D71F00-2C25-4079-BB9D-CEDD501E4C3D},4801831.26879132,12649.938503818
2,,260,W-Central,48,Brooklyn Park,,{8512A923-5F6D-436A-A121-74228B8BF57F},17690235.0655176,22757.1619630083
3,03,260,W-03,34,Minnetonka,,{D09DC5B1-F079-458A-BD29-73D29D34536F},21355467.5311455,31084.3771985946
4,,260,W-East,48,Brooklyn Park,,{2C07DEC5-39E5-4451-A8AB-B3C7EEF570FF},21792420.7909214,38041.9679697502
5,08,260,W-08,1,Minneapolis,,{C39637C5-38C6-4C45-8462-1E1C8A38735C},7965815.02340037,14508.3454235549
6,11,260,W-11,1,Minneapolis,,{294FDBD0-615F-4CD3-BD92-A43425D4885C},14151686.6644223,22587.4135981147
7,04,260,W-04,54,Crystal,,{52FD5F97-1E4C-4E0A-8026-227D45C66938},4764980.88411286,12610.6683810264
8,04,260,W-04,34,Minnetonka,,{A8BA6FEB-E046-4246-B6B2-2A6B61BC8927},15500354.0736368,20058.4773553127
9,02,260,W-02,54,Crystal,,{672B39DA-3DB3-4DCB-9BB5-AE123186F9A8},3549375.46363617,12816.7279854991
10,03,260,W-03,40,Plymouth,,{16A43718-47EC-4D45-845C-23F9CE8D3FE0},26808455.0028778,28260.8225110836
11,05,260,W-05,1,Minneapolis,,{66C9918A-97BB-4C8A-92BA-547E4FC45FB3},12487738.7168309,15736.6978959316
12,02,260,W-02,20,Bloomington,,{B30793DA-A27D-463A-8EED-57ABB9F96664},25904531.9730067,28480.9529613756
13,06,260,W-06,1,Minneapolis,,{36FC1944-495B-40A8-8A23-8DFD5DC5C726},4858649.68503856,15224.5187189533
14,07,260,W-07,1,Minneapolis,,{FACFC689-B731-4766-B732-A20299CCA994},14926017.5580129,23450.4259325589
15,01,260,W-01,44,Robbinsdale,,{79B6FFED-DA77-458C-95CE-C5B2FB53E1B8},2086603.50527231,8513.53179660751
16,04,260,W-04,20,Bloomington,,{A19A81E3-22B4-4503-9304-953B5F20D197},23112001.1283244,25507.5615480006
17,01,260,W-01,34,Minnetonka,,{3049639B-1107-4442-9E24-80D5D2AF470B},20051369.6915288,25730.293630093
18,03,260,W-03,46,St. Louis Park,,{C422535A-F2D1-4418-9BF6-291305A77B3C},5730202.81425896,10766.2582748122
19,01,260,W-01,54,Crystal,,{E00CB68F-E346-4B59-BED2-FC04B9157BE1},3183541.49454631,15124.9883492696
20,04,260,W-04,1,Minneapolis,,{5A1DF084-F781-441B-B5DB-F41915716164},13644029.2054713,17494.9462149374
21,01,260,W-01,46,St. Louis Park,,{16AEC693-BB92-41B4-8F48-76804BE9E672},6086837.78250882,12213.7574377874
22,03,260,W-03,54,Crystal,,{09B27B56-32E6-4362-B71D-7A8FEF65891F},3699562.2432938,10134.5977716184
23,03,260,W-03,50,Champlin,,{26BDE07F-423B-4504-B871-D0605A81F16F},4582569.04846916,11919.8347860454
24,03,260,W-03,42,Richfield,,{947482C7-0CEB-4C68-996F-47CEA58B75DA},5619030.18735746,10953.1233303925
25,13,260,W-13,1,Minneapolis,,{D1B26019-F95E-4E2C-88C3-D2027636F1D0},14666448.1782449,17143.1211984073
26,01,260,W-01,40,Plymouth,,{D0CCC631-1942-401E-8560-959549E9EF1D},19556103.7582492,21425.3689898498
27,,260,W-West,48,Brooklyn Park,,{10014691-8D48-46A6-8FAF-5312EBFDA265},29219517.6821956,32807.231958215
28,02,260,W-02,44,Robbinsdale,,{94CFCBDB-A7F3-4B87-9A6A-9516DE22FEA0},2402229.76568132,10398.1132203269
29,03,260,W-03,44,Robbinsdale,,{302C6D4D-771C-447E-9DB5-0D6BF8656C26},1351663.78908749,7424.2337149782
30,04,260,W-04,46,St. Louis Park,,{D6E894EC-8A0A-4066-BE72-9E597C22B8E7},8466167.4771853,18114.8700996974
31,01,260,W-01,50,Champlin,,{7A76F2E2-663B-401F-B3E2-CD3DC8A1F8F9},6054574.42240581,15209.2801476888
32,09,260,W-09,1,Minneapolis,,{1BFEDDCA-65F9-4A90-9273-9C045AA875EC},7963746.01170403,14720.7499872267
